overall_rank,player_id,player_name,team_abbreviation,position,candidate_tier,box_starts,start_rate,starter_role_flag,allstar_value_score,score_band,production_score,efficiency_score,creation_score,impact_score
1,203827,Natasha Howard,MIN,F,Core Candidate,20.0,1.0,True,74.9661744470053,All-Star Case,67.85382670696866,78.36926651135626,46.299414419913,84.12698412698411
2,1643426,Olivia Miles,MIN,G,Core Candidate,20.0,1.0,True,74.52258236181854,All-Star Case,63.16516872862051,70.37112400169062,64.78169152658216,81.58730158730158
3,1628269,Nia Coffey,MIN,F,Core Candidate,20.0,1.0,True,72.88017694508228,All-Star Case,69.26242495470572,62.69090389000284,65.34618171049458,74.12698412698414
4,1628932,A'ja Wilson,LVA,C,Core Candidate,19.0,1.0,True,72.75336807954506,All-Star Case,73.27048434382584,64.19844524575073,53.22956125385232,88.88888888888887
5,1627673,Jonquel Jones,NYL,C,Core Candidate,21.0,1.0,True,70.63069609066048,All-Star Case,70.04744905987685,76.95053629761652,56.091816762478786,60.63492063492063
6,1631007,Veronica Burton,GSV,G,Core Candidate,20.0,1.0,True,69.78949128863944,All-Star Case,65.08580440700169,43.049511377357504,76.95169837707112,80.7936507936508
7,1627668,Breanna Stewart,NYL,F,Core Candidate,21.0,1.0,True,68.551914990859,All-Star Case,70.02657618166108,53.89590169420355,53.53262703077995,74.6031746031746
8,1631009,Rhyne Howard,ATL,G,Core Candidate,19.0,1.0,True,68.09347950242287,All-Star Case,69.53542678415775,53.46936470346625,75.83725904738742,71.26984126984127
9,1631136,Pauline Astier,NYL,G,Core Candidate,17.0,0.7727272727272727,True,67.96426279600806,All-Star Case,55.44410371121381,76.3775949625889,67.96717109398162,56.98412698412699
10,1628931,Gabby Williams,GSV,F,Core Candidate,20.0,1.0,True,67.02546998172497,All-Star Case,66.30884676324901,44.03414078236466,65.7597076429298,73.4920634920635
11,1629491,Jessica Shepard,DAL,F,Core Candidate,20.0,1.0,True,66.55267457998812,All-Star Case,66.8021804906104,74.84895009622093,74.28331605850408,43.65079365079365
12,1628886,Jordin Canada,ATL,G,Core Candidate,20.0,1.0,True,66.30520067875081,All-Star Case,58.710556844987096,51.795657726692205,67.38939104587443,79.68253968253968
13,1641648,Aliyah Boston,IND,C,Core Candidate,18.0,1.0,True,66.19345091658366,All-Star Case,70.67276349299804,65.21443561540597,51.04751993163241,70.47619047619048
14,1629498,Jackie Young,LVA,G,Core Candidate,21.0,1.0,True,65.91714812117566,All-Star Case,58.389751835577144,46.064918645407296,75.82948125158507,64.44444444444444
15,1627675,Courtney Williams,MIN,G,Core Candidate,20.0,1.0,True,65.8652984148144,All-Star Case,66.88138315969577,36.59349474979348,77.4450176642751,58.095238095238095
16,1631055,Nyara Sabally,TOR,F,Core Candidate,13.0,1.0,True,65.62188602734372,All-Star Case,71.64729286311642,77.25551677379784,64.34126688830757,69.04761904761905
17,1631135,Olivia Nelson-Ododa,CON,C,Core Candidate,6.0,0.375,False,65.42717857243605,All-Star Case,71.54652877705564,85.29686931281108,55.69256399232215,81.74603174603175
18,1631019,NaLyssa Smith,LVA,F,Core Candidate,21.0,1.0,True,65.24256147426507,All-Star Case,58.77586497365949,80.58759772223644,41.50463206646266,55.07936507936508
19,203825,Kayla McBride,MIN,G,Core Candidate,20.0,1.0,True,65.0202513705714,All-Star Case,56.967139323519504,48.25048247990546,63.89952070354441,64.12698412698411
20,1628881,Monique Billings,IND,F,Core Candidate,18.0,1.0,True,64.94230909047343,All-Star Case,59.96801351011048,70.46972868355644,40.96488281667807,82.53968253968254
21,1642289,Kamilla Cardoso,CHI,C,Core Candidate,20.0,1.0,True,63.84021403603335,All-Star Case,71.96674908420052,79.17613244107785,53.67313472782949,52.22222222222223
22,1627700,Julie Allemand,TOR,G,Core Candidate,12.0,0.8571428571428571,True,63.54857687443381,All-Star Case,54.80111610971054,74.3621482710029,65.77340143017715,79.36507936507937
23,1642784,Paige Bueckers,DAL,G,Core Candidate,19.0,1.0,True,62.8606462755031,All-Star Case,60.37537839953384,57.297340561592854,81.54080201918191,50.47619047619048
24,1628277,Allisha Gray,ATL,G,Core Candidate,20.0,1.0,True,62.5761977428506,All-Star Case,55.0546084990335,56.16772239229353,58.23888408169642,67.46031746031746
25,1630442,Natasha Mack,PHX,F,Core Candidate,18.0,1.0,True,62.33394208979245,All-Star Case,69.77683413111384,65.68062718261992,47.046028263837286,73.01587301587303
26,1629546,Marine Johannes,NYL,G,Core Candidate,16.0,0.7272727272727273,True,62.16306602904157,All-Star Case,47.52468194232591,54.94904187054594,56.623331945441066,68.57142857142857
27,204329,Kiah Stokes,GSV,C,Core Candidate,20.0,1.0,True,62.08291395078519,All-Star Case,62.209423382887415,50.598350262533245,55.02856281512565,57.3015873015873
28,1643425,Azzi Fudd,DAL,G,Core Candidate,13.0,0.6842105263157895,True,61.958918145899545,All-Star Case,54.11059811689953,46.98063204179995,56.34602539524536,83.96825396825396
29,1628909,Kelsey Mitchell,IND,G,Core Candidate,19.0,1.0,True,61.287418343540864,All-Star Case,46.0794183741847,69.94912896905619,63.03054386930327,56.825396825396815
30,203833,Chelsea Gray,LVA,G,Core Candidate,21.0,1.0,True,60.97987665232892,All-Star Case,49.14441304849147,45.48769023002258,64.70083328376576,60.15873015873016
31,203822,Rebekah Gardner,NYL,G,Core Candidate,0.0,0.0,False,60.3601945290069,All-Star Case,52.57765876110004,68.02417121183366,57.04023729391152,45.714285714285715
32,204324,Dearica Hamby,LAS,F,Core Candidate,18.0,1.0,True,60.07015399336758,All-Star Case,68.01521251372468,70.0712007400623,59.62185352762597,45.55555555555555
33,1642767,Janelle Salaun,GSV,F,Core Candidate,0.0,0.0,False,59.86917170950578,Rotation Value,57.01323555375717,53.1503347791686,59.17823556746404,46.98412698412698
34,1642785,Sonia Citron,WAS,G,Core Candidate,17.0,1.0,True,59.67774185317675,Rotation Value,56.08207654803139,67.27220668201434,56.535035785108875,64.12698412698414
35,204322,Elizabeth Williams,CHI,C,Core Candidate,0.0,0.0,False,59.63856418993575,Rotation Value,66.55682099179386,45.59606094695334,67.3071022462417,65.15873015873017
36,1643420,Laura Juskaite,TOR,F,Core Candidate,13.0,0.6842105263157895,True,59.565680308274395,Rotation Value,56.70836998930819,60.04911255786321,45.42401594737683,75.23809523809524
37,1642291,Angel Reese,ATL,F,Core Candidate,20.0,1.0,True,59.41989057393,Rotation Value,62.53489509887199,47.41791057091698,40.31702111226123,65.3968253968254
