game_id,game_date,team_abbreviation,opponent_team_abbreviation,home_away,team_score,bench_points,bench_points_share,bench_minutes,team_minutes,bench_minutes_share,bench_rebounds,bench_assists,bench_turnovers,bench_ts_pct,bench_efg_pct,bench_ast_to,bench_plus_minus,bench_net_rating
401856890,2026-05-08,CON,NYL,away,75,22.0,29.3,74.0,200.0,37.0,12.0,9.0,3.0,36.6,37.0,3.0,-55.0,
401856890,2026-05-08,NYL,CON,home,106,31.0,29.2,71.0,200.0,35.5,13.0,12.0,7.0,68.8,63.2,1.7,88.0,
401856891,2026-05-08,TOR,WAS,home,65,11.0,16.9,70.0,200.0,35.0,17.0,3.0,5.0,31.2,23.3,0.6,6.0,
401856891,2026-05-08,WAS,TOR,away,68,4.0,5.9,71.0,200.0,35.5,11.0,5.0,6.0,12.5,12.5,0.8,-44.0,
401856892,2026-05-08,GSV,SEA,away,91,48.0,52.7,87.0,200.0,43.5,15.0,7.0,4.0,58.0,58.1,1.8,35.0,
401856892,2026-05-08,SEA,GSV,home,80,35.0,43.8,80.0,200.0,40.0,17.0,8.0,5.0,66.3,61.4,1.6,-33.0,
401856893,2026-05-09,DAL,IND,away,107,26.0,24.3,62.0,201.0,30.8,9.0,4.0,3.0,71.4,68.8,1.3,13.0,
401856893,2026-05-09,IND,DAL,home,104,22.0,21.2,63.0,200.0,31.5,6.0,4.0,4.0,69.8,67.9,1.0,-9.0,
401856894,2026-05-09,LVA,PHX,home,66,18.0,27.3,88.0,199.0,44.2,16.0,5.0,9.0,40.9,40.9,0.6,-60.0,
401856894,2026-05-09,PHX,LVA,away,99,24.0,24.2,77.0,199.0,38.7,9.0,5.0,1.0,47.4,45.8,5.0,20.0,
401856895,2026-05-09,CHI,PDX,away,98,13.0,13.3,40.0,200.0,20.0,3.0,5.0,2.0,42.4,39.3,2.5,21.0,
401856895,2026-05-09,PDX,CHI,home,83,35.0,42.2,77.0,201.0,38.3,10.0,6.0,4.0,54.9,56.5,1.5,-61.0,
401856896,2026-05-10,CON,SEA,home,82,33.0,40.2,71.0,200.0,35.5,21.0,7.0,4.0,57.4,59.3,1.8,12.0,
401856896,2026-05-10,SEA,CON,away,89,46.0,51.7,89.0,201.0,44.3,10.0,9.0,3.0,68.2,69.6,3.0,4.0,
401856897,2026-05-10,NYL,WAS,away,98,16.0,16.3,64.0,224.0,28.6,9.0,4.0,3.0,59.5,57.7,1.3,-16.0,
401856897,2026-05-10,WAS,NYL,home,93,25.0,26.9,79.0,225.0,35.1,11.0,8.0,7.0,46.7,48.0,1.1,-1.0,
401856898,2026-05-10,LAS,LVA,home,78,7.0,9.0,46.0,201.0,22.9,6.0,2.0,6.0,21.9,21.9,0.3,-49.0,
401856898,2026-05-10,LVA,LAS,away,105,30.0,28.6,73.0,200.0,36.5,11.0,6.0,3.0,59.5,58.7,2.0,61.0,
401856899,2026-05-09,ATL,MIN,away,91,14.0,15.4,37.0,200.0,18.5,9.0,4.0,4.0,39.1,35.3,1.0,-23.0,
401856899,2026-05-09,MIN,ATL,home,90,26.0,28.9,51.0,201.0,25.4,6.0,1.0,4.0,75.6,76.7,0.2,14.0,
401856900,2026-05-10,GSV,PHX,home,95,36.0,37.9,59.0,200.0,29.5,12.0,9.0,3.0,74.8,71.4,3.0,68.0,
401856900,2026-05-10,PHX,GSV,away,79,17.0,21.5,39.0,201.0,19.4,3.0,0.0,2.0,85.0,85.0,0.0,-46.0,
401856901,2026-05-12,ATL,DAL,away,77,5.0,6.5,28.0,200.0,14.0,11.0,1.0,4.0,35.7,35.7,0.2,-4.0,
401856901,2026-05-12,DAL,ATL,home,72,16.0,22.2,52.0,201.0,25.9,13.0,1.0,0.0,38.5,34.2,,22.0,
401856902,2026-05-12,MIN,PHX,away,88,23.0,26.1,63.0,202.0,31.2,11.0,3.0,4.0,63.6,56.7,0.8,-8.0,
401856902,2026-05-12,PHX,MIN,home,84,13.0,15.5,55.0,199.0,27.6,5.0,5.0,1.0,38.8,30.0,5.0,2.0,
401856903,2026-05-12,NYL,PDX,away,96,11.0,11.5,40.0,200.0,20.0,2.0,6.0,1.0,78.6,78.6,6.0,12.0,
401856903,2026-05-12,PDX,NYL,home,98,32.0,32.7,70.0,200.0,35.0,10.0,6.0,6.0,72.1,67.5,1.0,-30.0,
401856904,2026-05-13,SEA,TOR,away,73,23.0,31.5,77.0,200.0,38.5,10.0,9.0,9.0,56.9,50.0,1.0,-24.0,
401856904,2026-05-13,TOR,SEA,home,86,30.0,34.9,76.0,201.0,37.8,12.0,3.0,2.0,59.0,58.0,1.5,12.0,
401856905,2026-05-13,CON,LVA,home,69,36.0,52.2,76.0,199.0,38.2,17.0,1.0,2.0,46.0,39.4,0.5,-49.0,
