team_abbreviation,bench_games,bench_points_per_game,bench_minutes_per_game,bench_points_share,bench_minutes_share,bench_ts_pct,bench_efg_pct,bench_ast_to,last3_bench_points_per_game,bench_trend_label,bench_depth_rank
ATL,28,17.1,42.5,19.0,21.2,51.3,48.2,1.5,25.0,surging,14
CHI,29,26.3,70.9,30.0,35.0,50.6,46.2,1.7,25.7,steady,4
CON,29,29.5,77.4,36.6,38.5,52.3,48.2,1.6,26.7,steady,2
DAL,29,22.0,56.9,24.7,28.2,53.0,48.8,2.3,13.3,slipping,8
GSV,28,35.5,78.7,43.2,39.4,55.7,51.5,1.9,34.0,steady,1
IND,29,23.7,72.3,24.7,35.8,59.3,55.9,1.7,26.3,surging,5
LAS,27,19.1,51.7,21.9,25.7,54.7,49.8,1.5,17.3,steady,13
LVA,30,20.5,62.0,22.6,30.9,51.5,48.5,1.8,12.0,slipping,10
MIN,30,16.5,52.3,17.6,26.1,54.6,51.4,1.9,25.7,surging,15
NYL,31,22.0,60.1,24.5,29.8,59.3,54.7,1.6,28.3,surging,7
PDX,29,28.2,74.6,33.6,36.8,57.3,54.0,1.5,31.3,surging,3
PHX,30,19.6,57.1,23.8,28.4,51.5,44.8,1.4,18.3,steady,11
SEA,31,22.4,65.9,27.9,32.8,53.0,48.0,1.7,19.0,slipping,6
TOR,28,21.2,61.8,24.9,30.8,51.0,46.0,1.6,18.7,slipping,9
WAS,28,19.4,65.2,24.3,31.8,47.2,43.8,1.9,16.3,slipping,12
