team_abbreviation,seed,probability
ATL,1,0.0192
ATL,2,0.09975
ATL,3,0.17885
ATL,4,0.22705
ATL,5,0.21125
ATL,6,0.1446
ATL,7,0.0857
ATL,8,0.0329
ATL,9,0.00065
ATL,10,5e-05
ATL,11,0.0
ATL,12,0.0
ATL,13,0.0
ATL,14,0.0
ATL,15,0.0
CHI,1,0.0
CHI,2,0.0
CHI,3,0.0
CHI,4,0.0
CHI,5,0.0
CHI,6,0.00025
CHI,7,0.0033
CHI,8,0.0321
CHI,9,0.3351
CHI,10,0.26025
CHI,11,0.1763
CHI,12,0.11765
CHI,13,0.06285
CHI,14,0.0109
CHI,15,0.0013
CON,1,0.0
CON,2,0.0
CON,3,0.0
CON,4,0.0
CON,5,0.0
CON,6,0.0
CON,7,0.0
CON,8,0.0
CON,9,0.00045
CON,10,0.00175
CON,11,0.0092
CON,12,0.02965
CON,13,0.08295
CON,14,0.42825
CON,15,0.44775
DAL,1,0.00585
DAL,2,0.06565
DAL,3,0.11465
DAL,4,0.18885
DAL,5,0.2442
DAL,6,0.24885
DAL,7,0.0946
DAL,8,0.037
DAL,9,0.0003
DAL,10,5e-05
DAL,11,0.0
DAL,12,0.0
DAL,13,0.0
DAL,14,0.0
DAL,15,0.0
GSV,1,0.09785
GSV,2,0.34335
GSV,3,0.27345
GSV,4,0.15195
GSV,5,0.082
GSV,6,0.04095
GSV,7,0.00885
GSV,8,0.0016
GSV,9,0.0
GSV,10,0.0
GSV,11,0.0
GSV,12,0.0
GSV,13,0.0
GSV,14,0.0
GSV,15,0.0
IND,1,0.02155
IND,2,0.07775
IND,3,0.13365
IND,4,0.18275
IND,5,0.2003
IND,6,0.2143
IND,7,0.1234
IND,8,0.0456
IND,9,0.0007
IND,10,0.0
IND,11,0.0
IND,12,0.0
IND,13,0.0
IND,14,0.0
IND,15,0.0
LAS,1,0.0
LAS,2,0.0
LAS,3,0.0
LAS,4,0.0
LAS,5,0.0
LAS,6,5e-05
LAS,7,0.00145
LAS,8,0.0134
LAS,9,0.13305
LAS,10,0.1748
LAS,11,0.2042
LAS,12,0.2224
LAS,13,0.1838
LAS,14,0.0534
LAS,15,0.01345
LVA,1,0.10235
LVA,2,0.2677
LVA,3,0.2168
LVA,4,0.16655
LVA,5,0.1267
LVA,6,0.08055
LVA,7,0.03065
LVA,8,0.0087
LVA,9,0.0
LVA,10,0.0
LVA,11,0.0
LVA,12,0.0
LVA,13,0.0
LVA,14,0.0
LVA,15,0.0
MIN,1,0.7528
MIN,2,0.1415
MIN,3,0.063
MIN,4,0.0283
MIN,5,0.01135
MIN,6,0.00265
MIN,7,0.00025
MIN,8,0.00015
MIN,9,0.0
MIN,10,0.0
MIN,11,0.0
MIN,12,0.0
MIN,13,0.0
MIN,14,0.0
MIN,15,0.0
NYL,1,0.0004
NYL,2,0.00285
NYL,3,0.0134
NYL,4,0.038
NYL,5,0.08615
NYL,6,0.18205
NYL,7,0.43085
NYL,8,0.2355
NYL,9,0.0098
NYL,10,0.00085
NYL,11,0.00015
NYL,12,0.0
NYL,13,0.0
NYL,14,0.0
NYL,15,0.0
PDX,1,0.0
PDX,2,0.0
PDX,3,0.0
PDX,4,0.0
PDX,5,5e-05
PDX,6,0.0
PDX,7,0.001
PDX,8,0.00925
PDX,9,0.11995
PDX,10,0.19
PDX,11,0.2324
PDX,12,0.2374
PDX,13,0.18365
PDX,14,0.02325
PDX,15,0.00305
PHX,1,0.0
PHX,2,0.0
PHX,3,0.0
PHX,4,0.0
PHX,5,0.0
PHX,6,0.0001
PHX,7,0.00175
PHX,8,0.0323
PHX,9,0.2749
PHX,10,0.2545
PHX,11,0.20875
PHX,12,0.1377
PHX,13,0.07945
PHX,14,0.0101
PHX,15,0.00045
SEA,1,0.0
SEA,2,0.0
SEA,3,0.0
SEA,4,0.0
SEA,5,0.0
SEA,6,0.0
SEA,7,0.0
SEA,8,0.0
SEA,9,5e-05
SEA,10,0.00075
SEA,11,0.00325
SEA,12,0.0124
SEA,13,0.0512
SEA,14,0.4096
SEA,15,0.52275
TOR,1,0.0
TOR,2,0.0
TOR,3,0.0
TOR,4,0.0
TOR,5,0.0
TOR,6,0.0
TOR,7,0.00025
TOR,8,0.00145
TOR,9,0.06065
TOR,10,0.10295
TOR,11,0.1608
TOR,12,0.24205
TOR,13,0.3561
TOR,14,0.0645
TOR,15,0.01125
WAS,1,0.0
WAS,2,0.00145
WAS,3,0.0062
WAS,4,0.01655
WAS,5,0.038
WAS,6,0.08565
WAS,7,0.21795
WAS,8,0.55005
WAS,9,0.0644
WAS,10,0.01405
WAS,11,0.00495
WAS,12,0.00075
WAS,13,0.0
WAS,14,0.0
WAS,15,0.0
