team_id,franchise_id,team_abbreviation,team_name,games_played,wins,losses,win_pct,points_for,points_against,point_differential,games_back,home_wins,home_losses,road_wins,road_losses,home_record,road_record,last10_wins,last10_losses,last10_record,current_streak_type,current_streak_length,current_streak_label,conference_wins,conference_losses,conference_record,record_vs_current_500_plus_wins,record_vs_current_500_plus_losses,record_vs_current_500_plus,record_vs_current_500_plus_pct,current_rank,playoff_cutline_flag,clinched_playoffs,eliminated_from_playoffs,status_note
8,minnesota_lynx,MIN,Minnesota Lynx,43,32,11,0.7441860465116279,3911,3615,296,0,14,7,18,4,14-7,18-4,6,4,6-4,L,1,L1,,,,14,8,14-8,0.63636363636363635,1,top4,True,False,clinched_playoffs
129689,golden_state_valkyries,GS,Golden State Valkyries,43,31,12,0.72093023255813948,3539,3230,309,1,17,5,14,7,17-5,14-7,7,3,7-3,L,1,L1,,,,14,8,14-8,0.63636363636363635,2,top4,True,False,clinched_playoffs
17,las_vegas_aces,LV,Las Vegas Aces,43,30,13,0.69767441860465118,3925,3694,231,2,15,7,15,6,15-7,15-6,8,2,8-2,W,6,W6,,,,11,10,11-10,0.52380952380952384,3,top4,True,False,clinched_playoffs
20,atlanta_dream,ATL,Atlanta Dream,44,30,14,0.68181818181818177,4019,3717,302,2.5,15,7,15,7,15-7,15-7,9,1,9-1,W,5,W5,,,,11,11,11-11,0.5,4,top4,True,False,clinched_playoffs
5,indiana_fever,IND,Indiana Fever,43,28,15,0.65116279069767447,4156,3893,263,4,15,7,13,8,15-7,13-8,7,3,7-3,W,1,W1,,,,10,12,10-12,0.45454545454545453,5,playoff_field,True,False,clinched_playoffs
16,washington_mystics,WSH,Washington Mystics,43,27,16,0.62790697674418605,3595,3547,48,5,14,7,13,9,14-7,13-9,8,2,8-2,W,3,W3,,,,10,11,10-11,0.47619047619047616,6,playoff_field,True,False,clinched_playoffs
3,dallas_wings,DAL,Dallas Wings,44,27,17,0.61363636363636365,3933,3751,182,5.5,16,6,11,11,16-6,11-11,7,3,7-3,W,1,W1,,,,7,15,7-15,0.31818181818181818,7,playoff_field,True,False,clinched_playoffs
9,new_york_liberty,NY,New York Liberty,44,26,18,0.59090909090909094,3941,3802,139,6.5,14,8,12,10,14-8,12-10,6,4,6-4,L,2,L2,,,,10,12,10-12,0.45454545454545453,8,playoff_field,True,False,clinched_playoffs
132052,portland_fire,POR,Portland Fire,44,17,27,0.38636363636363635,3794,4005,-211,15.5,9,13,8,14,9-13,8-14,3,7,3-7,W,1,W1,,,,8,17,8-17,0.32000000000000001,9,cutline_chase,False,True,eliminated_from_playoffs
11,phoenix_mercury,PHX,Phoenix Mercury,43,16,27,0.37209302325581395,3630,3754,-124,16,7,14,9,13,7-14,9-13,4,6,4-6,W,1,W1,,,,4,20,4-20,0.16666666666666666,10,cutline_chase,False,True,eliminated_from_playoffs
19,chicago_sky,CHI,Chicago Sky,43,16,27,0.37209302325581395,3725,3888,-163,16,11,11,5,16,11-11,5-16,4,6,4-6,W,1,W1,,,,5,19,5-19,0.20833333333333334,11,outside,False,True,eliminated_from_playoffs
6,los_angeles_sparks,LA,Los Angeles Sparks,43,16,27,0.37209302325581395,3755,3942,-187,16,8,13,8,14,8-13,8-14,4,6,4-6,L,1,L1,,,,6,18,6-18,0.25,12,outside,False,True,eliminated_from_playoffs
131935,toronto_tempo,TOR,Toronto Tempo,43,11,32,0.2558139534883721,3688,4057,-369,21,7,15,4,17,7-15,4-17,1,9,1-9,L,7,L7,,,,1,25,1-25,0.038461538461538464,13,outside,False,True,eliminated_from_playoffs
18,connecticut_sun,CON,Connecticut Sun,43,10,33,0.23255813953488372,3375,3794,-419,22,7,14,3,19,7-14,3-19,2,8,2-8,L,6,L6,,,,2,23,2-23,0.080000000000000002,14,outside,False,True,eliminated_from_playoffs
14,seattle_storm,SEA,Seattle Storm,44,8,36,0.18181818181818182,3616,3913,-297,24.5,6,16,2,20,6-16,2-20,2,8,2-8,L,5,L5,,,,3,22,3-22,0.12,15,outside,False,True,eliminated_from_playoffs
