season,cutoff_date,team_id,franchise_id,team_abbreviation,current_rank,current_gp,current_wins,current_losses,current_win_pct,current_point_diff,projected_wins_mean,projected_losses_mean,wins_p10,wins_p50,wins_p90,expected_final_rank,playoff_probability,top4_probability,home_court_probability,rank_1_probability,rank_2_probability,rank_3_probability,rank_4_probability,rank_5_probability,rank_6_probability,rank_7_probability,rank_8_probability,rank_9_probability,rank_10_probability,rank_11_probability,rank_12_probability,rank_13_probability,rank_14_probability,rank_15_probability,out_probability,remaining_sos_rank,remaining_games,clinched_playoffs,eliminated_from_playoffs,status_note,most_leverage_game_id
2026,2026-08-24,8,minnesota_lynx,MIN,1,39,31,8,0.79487179487179482,323,34.286299999999997,9.7136999999999993,33,34,36,1.0075000000000001,1,1,1,0.99270000000000003,0.0071000000000000004,0.00020000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,True,False,clinched_playoffs,401857209
2026,2026-08-24,129689,golden_state_valkyries,GS,2,37,26,11,0.70270270270270274,227,31.517499999999998,12.4825,30,32,33,2.2317,1,0.99639999999999995,0.99639999999999995,0.0073000000000000001,0.78659999999999997,0.17699999999999999,0.025499999999999998,0.0033999999999999998,0.00020000000000000001,0,0,0,0,0,0,0,0,0,0,12,7,True,False,clinched_playoffs,401857178
2026,2026-08-24,17,las_vegas_aces,LV,3,39,26,13,0.66666666666666663,143,29.8827,14.1173,29,30,31,3.2063999999999999,1,0.90839999999999999,0.90839999999999999,0,0.18659999999999999,0.5323,0.1895,0.075499999999999998,0.012800000000000001,0.0023999999999999998,0.00089999999999999998,0,0,0,0,0,0,0,0,14,5,True,False,clinched_playoffs,401857182
2026,2026-08-24,20,atlanta_dream,ATL,4,38,25,13,0.65789473684210531,214,29.226700000000001,14.773300000000001,28,29,31,4.2723000000000004,1,0.64380000000000004,0.64380000000000004,0,0.0178,0.1714,0.4546,0.2616,0.070099999999999996,0.020500000000000001,0.0040000000000000001,0,0,0,0,0,0,0,0,10,6,True,False,clinched_playoffs,401857206
2026,2026-08-24,5,indiana_fever,IND,5,39,25,14,0.64102564102564108,222,28.2424,15.7576,27,28,29,4.9276999999999997,1,0.36409999999999998,0.36409999999999998,0,0.0019,0.11020000000000001,0.252,0.37340000000000001,0.15079999999999999,0.080100000000000005,0.031600000000000003,0,0,0,0,0,0,0,0,9,5,True,False,clinched_playoffs,401857203
2026,2026-08-24,9,new_york_liberty,NY,6,38,23,15,0.60526315789473684,119,26.232299999999999,17.767700000000001,25,26,28,6.7320000000000002,1,0.050099999999999999,0.050099999999999999,0,0,0.0080000000000000002,0.042099999999999999,0.088700000000000001,0.24099999999999999,0.3115,0.30869999999999997,0,0,0,0,0,0,0,0,8,6,True,False,clinched_playoffs,401857206
2026,2026-08-24,16,washington_mystics,WSH,7,37,22,15,0.59459459459459463,-19,26.178599999999999,17.821400000000001,25,26,28,6.8288000000000002,1,0.027,0.027,0,0,0.00069999999999999999,0.0263,0.1094,0.2198,0.29470000000000002,0.34910000000000002,0,0,0,0,0,0,0,0,13,7,False,False,in_contention,401857203
2026,2026-08-24,3,dallas_wings,DAL,8,38,22,16,0.57894736842105265,102,26.378599999999999,17.621400000000001,25,26,28,6.7935999999999996,1,0.010200000000000001,0.010200000000000001,0,0,0.00020000000000000001,0.01,0.087999999999999995,0.30530000000000002,0.2908,0.30570000000000003,0,0,0,0,0,0,0,0,15,6,False,False,in_contention,401857174
2026,2026-08-24,132052,portland_fire,POR,9,37,15,22,0.40540540540540543,-162,17.084199999999999,26.915800000000001,16,17,19,10.261200000000001,0,0,0,0,0,0,0,0,0,0,0,0.2336,0.39500000000000002,0.25109999999999999,0.1172,0.0030999999999999999,0,0,1,4,7,False,False,in_contention,401857180
2026,2026-08-24,19,chicago_sky,CHI,10,38,15,23,0.39473684210526316,-95,17.578499999999998,26.421500000000002,16,18,19,9.5332000000000008,0,0,0,0,0,0,0,0,0,0,0,0.59860000000000002,0.28270000000000001,0.1071,0.0101,0.0015,0,0,1,6,6,False,True,eliminated_from_playoffs,401857199
2026,2026-08-24,11,phoenix_mercury,PHX,11,37,13,24,0.35135135135135137,-138,16.027200000000001,27.972799999999999,14,16,18,10.819599999999999,0,0,0,0,0,0,0,0,0,0,0,0.15340000000000001,0.22289999999999999,0.32829999999999998,0.2417,0.053499999999999999,0.00020000000000000001,0,1,3,7,False,True,eliminated_from_playoffs,401857219
2026,2026-08-24,6,los_angeles_sparks,LA,12,38,13,25,0.34210526315789475,-200,14.9268,29.0732,14,15,16,11.6363,0,0,0,0,0,0,0,0,0,0,0,0.012999999999999999,0.094899999999999998,0.27750000000000002,0.47320000000000001,0.14019999999999999,0.0011999999999999999,0,1,7,6,False,True,eliminated_from_playoffs,401857211
2026,2026-08-24,131935,toronto_tempo,TOR,13,37,11,26,0.29729729729729731,-238,12.899100000000001,31.100899999999999,11,13,14,12.7965,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0044999999999999997,0.035799999999999998,0.15479999999999999,0.76219999999999999,0.040599999999999997,0.00069999999999999999,1,11,7,False,True,eliminated_from_playoffs,401857195
2026,2026-08-24,18,connecticut_sun,CON,14,36,9,27,0.25,-288,10.488200000000001,33.511800000000001,9,10,12,14.2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020000000000000001,0.0028999999999999998,0.036600000000000001,0.6956,0.26469999999999999,1,2,8,False,True,eliminated_from_playoffs,401857181
2026,2026-08-24,14,seattle_storm,SEA,15,38,7,31,0.18421052631578946,-210,9.0509000000000004,34.949100000000001,8,9,10,14.7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0028999999999999998,0.26240000000000002,0.73460000000000003,1,5,6,False,True,eliminated_from_playoffs,401857205
