Player,TEAM,GP,MPG,Rank,RAPM,OFFRAPM,DEFRAPM,NET,SE,LO,HI,TRUST,PriorPCT,Rank SD,BoxNET,ORtg,DRtg
A'ja Wilson,LVA,34,32.4,1,3.4,3,0.4,3.4,2.261,0.5,6.3,37.2,0.918,8.4,12.2,114.7,102.5
Jackie Young,LVA,36,32.6,2,3,2,0.9,3,2.298,0.1,5.9,61.9,0.917,1.1,11.9,113.9,102
Napheesa Collier,MIN,10,29.9,3,2.9,2.3,0.6,2.9,1.627,0.8,5,59.8,0.858,0.5,15.7,119.3,103.6
Breanna Stewart,NYL,36,33.1,4,2.7,2.1,0.6,2.7,2.297,-0.3,5.6,43.5,0.929,0.7,2.8,109.3,106.5
Aliyah Boston,IND,33,27.6,5,2.5,2.2,0.2,2.5,2.158,-0.3,5.2,49.4,0.905,3.8,9.2,112.4,103.2
Veronica Burton,GSV,35,28.9,6,2.4,1.7,0.8,2.4,2.246,-0.5,5.3,51.1,0.907,2.1,9.3,105.5,96.2
Kayla McBride,MIN,37,32.4,7,2.2,2,0.2,2.2,2.323,-0.8,5.2,44.9,0.926,0.9,11.9,113.3,101.4
Leonie Fiebich,NYL,14,29.1,8,2.1,1.2,0.9,2.1,1.907,-0.3,4.5,57.2,0.839,0.4,7.3,108.1,100.8
Paige Bueckers,DAL,34,33.4,10,1.9,2,-0.2,1.9,2.295,-1.1,4.8,50.7,0.935,7.9,2.1,108.8,106.7
Natasha Howard,MIN,37,29.3,11,1.8,1.6,0.2,1.8,2.264,-1.1,4.7,42.4,0.913,7.3,15.7,114.5,98.8
Sonia Citron,WAS,32,33.5,14,1.5,0.7,0.8,1.5,2.244,-1.4,4.3,62.8,0.91,8,3.3,102.8,99.5
Jessica Shepard,DAL,34,32,13,1.5,1.4,0.1,1.5,2.304,-1.5,4.4,57.9,0.916,3.9,1.8,107,105.2
Brittney Griner,CON,18,25.3,15,1.4,1.2,0.2,1.4,1.93,-1.1,3.9,41.2,0.989,5,-6.1,94.6,100.7
Kelsey Mitchell,IND,36,32.8,16,1.4,1.6,-0.2,1.4,2.288,-1.5,4.3,42.5,0.925,28,8.8,113.8,105
Kelsey Plum,PHX,16,31.5,17,1.4,1.5,-0.1,1.4,1.974,-1.2,3.9,44.9,0.927,7.4,-2.3,108.3,110.6
Natasha Mack,PHX,28,22.3,22,1.3,0.8,0.5,1.3,2.046,-1.4,3.9,45,0.912,2.3,-2.2,101.2,103.4
Naz Hillmon,ATL,34,29,23,1.2,1.4,-0.2,1.2,2.222,-1.6,4.1,52.5,0.923,7.7,5.7,108.7,103
Jonquel Jones,NYL,36,28.7,24,1.2,1.2,0,1.2,2.241,-1.7,4.1,31.8,0.911,13.4,2.1,107.6,105.5
Bridget Carleton,PDX,34,30.4,25,1.1,1.1,0,1.1,2.21,-1.7,3.9,36.5,0.924,7.5,-2.5,106.1,108.6
Chelsea Gray,LVA,36,33.2,26,1.1,1,0.1,1.1,2.31,-1.9,4,46.8,0.916,10.7,8.5,112.2,103.7
Sydney Taylor,CHI,29,20.6,28,1,0.5,0.5,1,2.02,-1.6,3.6,47.4,0.891,45.6,2.8,106.3,103.5
Alyssa Thomas,PHX,34,34,29,1,0.6,0.3,1,2.313,-2,3.9,53.2,0.969,2.4,-3.4,103.7,107.1
Dominique Malonga,SEA,28,26.4,31,0.9,1,-0.2,0.9,2.063,-1.8,3.5,47.7,0.528,17,-3.3,103.2,106.5
Olivia Miles,MIN,35,31.1,34,0.8,0.9,-0.1,0.8,2.257,-2,3.8,56.7,0.921,41.8,13.5,113.9,100.4
