team,pair,state,off_poss,pf,raw_off,def_poss,pa,raw_def,ortg,drtg,net
WAS,Betts + Austin,Austin,1688.885943143794,1800,1709,1683.1067514680415,1789,1710,106.57913326280467,106.29153489162802,0.28759837117665654
WAS,Betts + Austin,Betts,792.54591095806,784,801,780.6195513245677,804,792,98.92171408117805,102.99511441082404,-4.073400329645992
WAS,Betts + Austin,Betts+Austin,402.8747419336895,417,407,406.7223554692492,408,413,103.50611656578744,100.31413186749391,3.191984698293524
WAS,Betts + Austin,none,49.69340396445659,56,50,47.551341738141566,75,48,112.69101235257344,157.7242560536236,-45.03324370105017
WAS,Betts + Iriafen,Iriafen,1354.5504355731493,1492,1370,1343.501365034712,1464,1366,110.14724596568395,108.96899981654835,1.178246149135603
WAS,Betts + Iriafen,Betts,675.132167107347,691,682,675.3339308251976,714,685,102.35032985624726,105.72547408177107,-3.3751442255238118
WAS,Betts + Iriafen,Betts+Iriafen,520.2884857844025,510,526,512.0079759686193,498,520,98.02254209625815,97.26410981350067,0.7584322827574823
WAS,Betts + Iriafen,none,384.0289115351013,364,389,387.1567281714709,400,392,94.78453029615959,103.31733143039705,-8.53280113423746
WAS,Betts + Dugalic,none,1352.1851163739525,1485,1368,1346.4911879109081,1446,1369,109.82224120187082,107.39023121595623,2.43200998591459
WAS,Betts + Dugalic,Betts,971.6747809915195,989,982,965.9657005236393,958,980,101.78302651745284,99.17536404042906,2.60766247702378
WAS,Betts + Dugalic,Dugalic,386.39423073429816,371,391,384.1669052952749,418,389,96.01592634935486,108.80687384529404,-12.790947495939179
WAS,Betts + Dugalic,Betts+Dugalic,223.74587190022996,212,226,221.37620627017773,254,225,94.75035145878913,114.7368112768211,-19.986459818031975
CON,Leger-Walker + Kneepkens,Leger-Walker,1409.2823599222295,1436,1434,1416.0354575591841,1572,1437,101.89583300249674,111.01416928567957,-9.118336283182828
CON,Leger-Walker + Kneepkens,none,976.9760662833106,963,995,967.1409445728123,1046,985,98.56945663607918,108.15383278618403,-9.584376150104845
CON,Leger-Walker + Kneepkens,Leger-Walker+Kneepkens,262.14805061906424,247,267,259.55296980509416,279,264,94.22156656008237,107.49250922056841,-13.270942660486043
CON,Leger-Walker + Kneepkens,Kneepkens,210.59352317539572,199,214,214.2706280629096,236,217,94.49483393383382,110.1410875272698,-15.646253593435986
TOR,Rice + Allemand,Allemand,1348.037286945606,1453,1369,1349.566722758302,1561,1371,107.78633603616554,115.66675242329343,-7.8804163871278945
TOR,Rice + Allemand,Rice,780.8275478171535,889,792,781.9661459391783,915,792,113.85356503945701,117.01273830736518,-3.159173267908173
TOR,Rice + Allemand,none,536.2823169762693,559,542,526.4894395185219,634,534,104.23614247656351,120.42026912824639,-16.184126651682874
TOR,Rice + Allemand,Rice+Allemand,305.85284826097126,328,310,309.9776917839978,357,313,107.24111345209101,115.16957815427855,-7.92846470218754
CHI,Jaquez + Cloud,Cloud,1529.2186277586436,1665,1547,1513.8380715891956,1663,1536,108.87913407387467,109.85322877064503,-0.974094696770365
CHI,Jaquez + Cloud,Jaquez+Cloud,665.7421212502506,664,672,678.5397671801974,739,689,99.73831890838167,108.91034479394727,-9.172025885565603
CHI,Jaquez + Cloud,Jaquez,572.3673672745335,615,581,582.7148733768596,642,591,107.44847368368889,110.17395116063888,-2.7254774769499903
CHI,Jaquez + Cloud,none,359.6718837165722,376,364,359.9072878537473,371,365,104.53972551724245,103.08210267494233,1.4576228423001112
