team_abbreviation,team_name,games,wins,pf,pa,op,dp,ortg,drtg,net,win_pct,net_rank,has_ucla_rookie
ATL,ATL,36,23,3283,3086,2904,2933,113.05096418732784,105.2165018752131,7.834462312114738,0.6388888888888888,4,False
CHI,CHI,37,15,3230,3302,3045,3080,106.07553366174056,107.20779220779222,-1.1322585460516592,0.40540540540540543,9,True
CON,CON,35,9,2777,3056,2776,2800,100.03602305475505,109.14285714285714,-9.10683408810209,0.2571428571428571,15,True
DAL,DAL,37,21,3275,3195,2928,2949,111.85109289617485,108.34181078331638,3.5092821128584717,0.5675675675675675,7,False
GSV,GSV,36,25,2971,2758,2686,2724,110.61057334326136,101.24816446402349,9.362408879237876,0.6944444444444444,2,False
IND,IND,37,24,3554,3348,3056,3087,116.2958115183246,108.45481049562682,7.841001022697782,0.6486486486486487,3,False
LAS,LAS,36,12,3168,3370,2949,2971,107.4262461851475,113.4298216088859,-6.003575423738397,0.3333333333333333,13,False
LVA,LVA,38,25,3443,3310,3037,3080,113.36845571287455,107.46753246753246,5.900923245342085,0.6578947368421053,5,False
MIN,MIN,38,31,3505,3168,3023,3060,115.94442606682105,103.5294117647059,12.415014302115154,0.8157894736842105,1,False
NYL,NYL,37,22,3339,3227,2965,2982,112.61382799325463,108.21596244131455,4.397865551940086,0.5945945945945946,6,False
PDX,PDX,36,15,3115,3272,2886,2907,107.93485793485793,112.55589955280358,-4.62104161794565,0.4166666666666667,11,False
PHX,PHX,36,13,3020,3148,2851,2889,105.92774465099966,108.9650398061613,-3.037295155161644,0.3611111111111111,10,False
SEA,SEA,37,7,3080,3268,2977,3017,103.4598589183742,108.31952270467352,-4.859663786299322,0.1891891891891892,12,False
TOR,TOR,36,11,3151,3379,2895,2923,108.84283246977549,115.6004105371194,-6.757578067343914,0.3055555555555556,14,True
WAS,WAS,36,21,2952,2976,2849,2861,103.61530361530362,104.01957357567284,-0.4042699603692199,0.5833333333333334,8,True
