game_id,date,home_team_id,home_team_abbreviation,home_points,home_possessions,away_team_id,away_team_abbreviation,away_points,away_possessions
1022600001,2026-05-08,1611661313,NYL,106,87,1611661323,CON,75,88
1022600002,2026-05-08,1611661332,TOR,65,80,1611661322,WAS,68,81
1022600003,2026-05-08,1611661328,SEA,80,74,1611661331,GSV,91,75
1022600004,2026-05-09,1611661325,IND,104,88,1611661321,DAL,107,88
1022600005,2026-05-09,1611661319,LVA,66,82,1611661317,PHX,99,82
1022600006,2026-05-09,1611661327,PDX,83,82,1611661329,CHI,98,80
1022600010,2026-05-09,1611661324,MIN,90,84,1611661330,ATL,91,86
1022600007,2026-05-10,1611661323,CON,82,85,1611661328,SEA,89,85
1022600008,2026-05-10,1611661322,WAS,93,84,1611661313,NYL,98,87
1022600009,2026-05-10,1611661320,LAS,78,83,1611661319,LVA,105,82
1022600011,2026-05-10,1611661331,GSV,95,75,1611661317,PHX,79,76
1022600012,2026-05-12,1611661321,DAL,72,76,1611661330,ATL,77,76
1022600013,2026-05-12,1611661317,PHX,84,81,1611661324,MIN,88,79
1022600014,2026-05-12,1611661327,PDX,98,79,1611661313,NYL,96,78
1022600015,2026-05-13,1611661332,TOR,86,79,1611661328,SEA,73,80
1022600016,2026-05-13,1611661323,CON,69,82,1611661319,LVA,98,83
1022600017,2026-05-13,1611661331,GSV,63,74,1611661329,CHI,69,75
1022600018,2026-05-13,1611661320,LAS,78,81,1611661325,IND,87,81
1022600019,2026-05-14,1611661321,DAL,86,77,1611661324,MIN,90,76
1022600020,2026-05-14,1611661327,PDX,82,86,1611661313,NYL,100,85
1022600021,2026-05-15,1611661323,CON,94,84,1611661319,LVA,101,84
1022600022,2026-05-15,1611661325,IND,102,92,1611661322,WAS,104,94
1022600023,2026-05-15,1611661320,LAS,99,78,1611661332,TOR,95,79
1022600024,2026-05-15,1611661317,PHX,91,82,1611661329,CHI,83,82
1022600025,2026-05-17,1611661324,MIN,79,82,1611661329,CHI,86,83
1022600026,2026-05-17,1611661330,ATL,84,84,1611661319,LVA,85,84
1022600027,2026-05-17,1611661325,IND,89,83,1611661328,SEA,78,83
1022600028,2026-05-17,1611661320,LAS,96,80,1611661332,TOR,106,78
1022600029,2026-05-18,1611661321,DAL,92,73,1611661322,WAS,69,73
1022600030,2026-05-18,1611661327,PDX,83,74,1611661323,CON,82,74
1022600031,2026-05-19,1611661317,PHX,90,81,1611661332,TOR,98,82
1022600032,2026-05-20,1611661325,IND,90,82,1611661327,PDX,73,81
1022600033,2026-05-20,1611661329,CHI,89,78,1611661321,DAL,99,79
1022600034,2026-05-20,1611661328,SEA,78,76,1611661323,CON,80,78
1022600035,2026-05-21,1611661313,NYL,70,75,1611661331,GSV,87,74
1022600036,2026-05-21,1611661324,MIN,100,77,1611661332,TOR,72,77
1022600037,2026-05-21,1611661317,PHX,88,81,1611661320,LAS,97,80
1022600038,2026-05-22,1611661330,ATL,86,77,1611661321,DAL,69,77
1022600039,2026-05-22,1611661325,IND,90,82,1611661331,GSV,82,82
1022600040,2026-05-22,1611661328,SEA,77,75,1611661323,CON,59,73
1022600041,2026-05-23,1611661329,CHI,75,86,1611661324,MIN,85,86
1022600042,2026-05-23,1611661332,TOR,80,78,1611661327,PDX,99,79
1022600043,2026-05-23,1611661319,LVA,95,84,1611661320,LAS,101,83
1022600044,2026-05-24,1611661330,ATL,82,74,1611661317,PHX,80,75
1022600045,2026-05-24,1611661313,NYL,76,76,1611661321,DAL,91,75
1022600046,2026-05-24,1611661328,SEA,97,79,1611661322,WAS,85,79
1022600047,2026-05-25,1611661313,NYL,74,77,1611661327,PDX,81,77
1022600048,2026-05-25,1611661331,GSV,97,79,1611661323,CON,70,79
1022600049,2026-05-27,1611661313,NYL,84,77,1611661317,PHX,74,76
1022600050,2026-05-27,1611661329,CHI,104,82,1611661332,TOR,111,83
1022600051,2026-05-27,1611661324,MIN,96,77,1611661330,ATL,81,76
1022600052,2026-05-27,1611661327,PDX,71,74,1611661323,CON,61,74
1022600053,2026-05-27,1611661328,SEA,64,71,1611661322,WAS,78,71
1022600054,2026-05-28,1611661321,DAL,95,77,1611661319,LVA,87,78
1022600055,2026-05-28,1611661331,GSV,90,81,1611661325,IND,88,81
1022600056,2026-05-29,1611661313,NYL,75,76,1611661317,PHX,68,75
1022600057,2026-05-29,1611661322,WAS,87,79,1611661320,LAS,92,80
1022600058,2026-05-29,1611661329,CHI,58,86,1611661324,MIN,79,85
1022600059,2026-05-29,1611661327,PDX,66,76,1611661330,ATL,86,77
1022600060,2026-05-30,1611661332,TOR,93,82,1611661328,SEA,72,80
1022600061,2026-05-30,1611661323,CON,84,82,1611661320,LAS,81,82
1022600062,2026-05-30,1611661327,PDX,100,79,1611661325,IND,84,79
1022600063,2026-05-31,1611661331,GSV,81,80,1611661319,LVA,91,79
1022600064,2026-06-01,1611661321,DAL,79,78,1611661328,SEA,56,79
1022600065,2026-06-01,1611661317,PHX,77,78,1611661324,MIN,111,78
1022600066,2026-06-02,1611661330,ATL,91,76,1611661323,CON,75,76
1022600067,2026-06-02,1611661322,WAS,90,81,1611661329,CHI,72,81
1022600068,2026-06-02,1611661331,GSV,95,72,1611661327,PDX,77,71
1022600069,2026-06-02,1611661320,LAS,69,78,1611661319,LVA,79,77
1022600070,2026-06-03,1611661313,NYL,97,78,1611661332,TOR,82,77
1022600071,2026-06-03,1611661328,SEA,68,79,1611661317,PHX,72,79
1022600072,2026-06-04,1611661325,IND,83,77,1611661330,ATL,71,77
1022600073,2026-06-04,1611661324,MIN,87,75,1611661331,GSV,84,73
1022600074,2026-06-05,1611661329,CHI,85,75,1611661323,CON,80,77
1022600075,2026-06-05,1611661320,LAS,96,83,1611661321,DAL,104,83
1022600076,2026-06-05,1611661327,PDX,72,75,1611661317,PHX,78,73
1022600077,2026-06-06,1611661324,MIN,88,79,1611661328,SEA,68,79
1022600078,2026-06-06,1611661319,LVA,84,75,1611661331,GSV,79,76
1022600079,2026-06-06,1611661330,ATL,109,77,1611661322,WAS,77,77
1022600080,2026-06-06,1611661313,NYL,83,84,1611661325,IND,75,84
