season,entity_id_feature,entity_name_feature,sample_size_flag,detected_zone_fga_total,efg_pct_feature,ts_pct_feature,points_per_fga_feature,shotquality_pbp_feature,shot_making_over_shotquality_pbp,rim_fga_share,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share,shot_diet_diversity_score,shot_zone_concentration_score,shooting_efficiency_category,shotquality_pbp_profile_label,shot_diet_profile_label,specialized_shooter_label,shot_diet_risk_label,leaderboard_name,leaderboard_sort_col,leaderboard_generated_at_utc,run_id
2026,1627675,Courtney Williams,Strong,533.0,0.4962476547842401,0.5126126126126126,1.0694183864915572,0.4437664783427495,0.052481176441490585,0.07879924953095685,0.6848030018761726,0.23639774859287055,0.3151969981238274,0.813601786166352,0.3346592089098838,Average Efficiency,Tough-Shot Maker,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1628932,A'ja Wilson,Strong,661.0,0.5537065052950075,0.625,1.4992435703479576,0.4548059757942511,0.09890052950075645,0.22844175491679275,0.6369137670196672,0.1346444780635401,0.3630862329803328,0.8286917824967586,0.29696672853902656,Average Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,203826,Alyssa Thomas,Strong,412.0,0.5182038834951457,0.562374245472837,1.3567961165048543,0.4783409756097561,0.0398629078853896,0.39563106796116504,0.5970873786407767,,,0.5932922973752003,0.42607691582618534,Average Efficiency,Tough Shot Profile,Unavailable Shot Diet,Midrange Specialist,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1630442,Natasha Mack,Usable,196.0,0.6071428571428571,0.639269406392694,1.4285714285714286,0.4704293367346939,0.1367135204081632,0.3673469387755102,0.5918367346938775,0.04081632653061224,0.40816326530612246,0.6996082387939317,0.371563931695127,Strong Efficiency,Tough-Shot Maker,Paint-Oriented,Midrange Specialist,Spacing-Limited Profile,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642784,Paige Bueckers,Strong,598.0,0.5668896321070234,0.6039755351681957,1.3327759197324414,0.4419970588235294,0.12489257328349396,0.11538461538461539,0.5852842809364549,0.29933110367892973,0.4147157190635451,0.8718234452166042,0.2676815695573875,Strong Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Balanced / Low Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,203398,Brittney Griner,Usable,184.0,0.529891304347826,0.5642857142857143,1.2934782608695652,0.4798684782608696,0.05002282608695646,0.40217391304347827,0.5760869565217391,0.021739130434782608,0.42391304347826086,0.6240369781400648,0.41782844990548207,Average Efficiency,Tough-Shot Maker,Paint-Oriented,Midrange Specialist,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1631019,NaLyssa Smith,Strong,287.0,0.6393728222996515,0.6397694524495677,1.5470383275261324,0.4873594076655052,0.15201341463414636,0.43902439024390244,0.5331010452961672,,,0.5805477667777733,0.4397892410979859,Elite Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,Rim Pressure Finisher,Balanced / Low Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642817,Hailey Van Lith,Usable,101.0,0.4653465346534653,0.5,1.0495049504950495,0.4627615,0.0025850346534653235,0.16831683168316833,0.504950495049505,0.32673267326732675,0.49504950495049505,0.9636392605762943,0.2257621801784139,Low Efficiency,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642809,Saniya Rivers,Strong,300.0,0.365,0.3928571428571428,0.88,0.4754866894197952,-0.11048668941979523,0.24666666666666667,0.5,0.25333333333333335,0.5,0.948484678746764,0.22704444444444444,Efficiency Concern,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642793,Aziaha James,Usable,205.0,0.4317073170731707,0.4890829694323144,1.0975609756097562,0.4698341463414634,-0.038126829268292695,0.2097560975609756,0.4975609756097561,0.2926829268292683,0.5024390243902439,0.9263661431920949,0.2523497917906008,Low Efficiency,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1643427,Lauren Betts,Usable,188.0,0.5425531914893617,0.5896860986547086,1.398936170212766,0.484531914893617,0.05802127659574463,0.5053191489361702,0.49468085106382975,,,0.6262819804981269,0.39129696695337257,Average Efficiency,Tough-Shot Maker,Unavailable Shot Diet,Rim Pressure Finisher,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1627668,Breanna Stewart,Strong,600.0,0.4908333333333333,0.5643153526970954,1.3683333333333334,0.4865636894824707,0.004269643850862592,0.30833333333333335,0.49333333333333335,0.19833333333333333,0.5066666666666667,0.7855871355469419,0.33261666666666667,Average Efficiency,Average Shot Quality Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642290,Aaliyah Edwards,Usable,216.0,0.5462962962962963,0.5896414342629482,1.3703703703703705,0.4929143518518518,0.053381944444444496,0.44907407407407407,0.48611111111111116,0.06481481481481481,0.5138888888888888,0.7694951193691854,0.3247599451303155,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,Midrange Specialist,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,203833,Chelsea Gray,Strong,399.0,0.5200501253132832,0.5510688836104513,1.1879699248120301,0.4599431989924433,0.060106926320839915,0.05012531328320802,0.47619047619047616,0.47368421052631576,0.5238095238095237,0.831492471973936,0.3032707080985672,Average Efficiency,Tough-Shot Maker,Perimeter-Leaning,Above-Break Spacer,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1631135,Olivia Nelson-Ododa,Usable,217.0,0.576036866359447,0.620817843866171,1.5391705069124424,0.4942601382488479,0.08177672811059905,0.5207373271889401,0.4700460829493087,,,0.6029840337423075,0.42254029603516735,Strong Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,Rim Pressure Finisher,Balanced / Low Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642303,Leila Lacan,Strong,281.0,0.4750889679715303,0.5081168831168831,1.1174377224199288,0.4702852313167259,0.00480373665480438,0.20284697508896798,0.46975088967971534,0.3274021352313168,0.5302491103202848,0.9297761017264421,0.23438153012246557,Low Efficiency,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1630096,DiJonai Carrington,Low,94.0,0.3670212765957447,0.4330357142857143,1.0319148936170213,0.4861010638297872,-0.1190797872340425,0.26595744680851063,0.46808510638297873,0.26595744680851063,0.5319148936170213,0.8870253970336136,0.26459936622906294,Efficiency Concern,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1631022,Shakira Austin,Strong,504.0,0.5069444444444444,0.560530679933665,1.3432539682539681,0.4869266865079364,0.020017757936508007,0.43253968253968256,0.4662698412698413,0.10119047619047619,0.5337301587301587,0.6945549270717387,0.37300799949609476,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,Midrange Specialist,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642798,Dominique Malonga,Strong,445.0,0.503370786516854,0.5390781563126252,1.208988764044944,0.4929477528089888,0.010423033707865181,0.3752808988764045,0.4651685393258427,0.15955056179775282,0.5348314606741573,0.8118989698626706,0.314783486933468,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,203014,Nneka Ogwumike,Strong,524.0,0.5706106870229007,0.6031746031746031,1.3129770992366412,0.4939823473282442,0.07662833969465654,0.2786259541984733,0.4541984732824427,0.26717557251908397,0.5458015267175573,0.8834076086383822,0.2659518676067828,Strong Efficiency,Average Shot Quality Profile,Midrange-Heavy,Midrange Specialist,Balanced / Low Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1629491,Jessica Shepard,Strong,394.0,0.5875634517766497,0.6192052980132451,1.4238578680203047,0.5107368956743003,0.07682655610234945,0.5203045685279187,0.4517766497461929,0.027918781725888325,0.5482233502538071,0.6585905628486399,0.3995078461181685,Strong Efficiency,Average Shot Quality Profile,Paint-Oriented,Rim Pressure Finisher,Spacing-Limited Profile,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642304,Carla Leite,Strong,385.0,0.5025974025974026,0.6014492753623188,1.5194805194805194,0.477694908616188,0.02490249398121458,0.3220779220779221,0.4493506493506494,0.2285714285714286,0.5506493506493506,0.8493379031664213,0.28175409006577845,Average Efficiency,Tough Shot Profile,Balanced Shot Diet,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1643441,Raegan Beers,Usable,101.0,0.4851485148514851,0.5403225806451613,1.3267326732673268,0.5171123762376237,-0.03196386138613866,0.504950495049505,0.44554455445544555,0.04950495049504951,0.5544554455445545,0.7124496852654012,0.3735908244289775,Low Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1628508,Cecilia Zandalasini,Strong,287.0,0.4790940766550522,0.5082781456953642,1.0766550522648084,0.4522300699300698,0.026864006724982403,0.05574912891986063,0.44250871080139376,0.5017421602787456,0.5574912891986062,0.8524381668438273,0.2950260413505081,Low Efficiency,Tough Shot Profile,Perimeter-Leaning,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1629483,Napheesa Collier,Usable,172.0,0.561046511627907,0.5989583333333334,1.3372093023255813,0.4844143274853801,0.07663218414252687,0.28488372093023256,0.4418604651162791,0.2732558139534884,0.558139534883721,0.8903050158353115,0.2656165494862087,Strong Efficiency,Tough-Shot Maker,Diversified Shot Profile,Midrange Specialist,Balanced / Low Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1642822,Kaitlyn Chen,Usable,215.0,0.5976744186046512,0.6158798283261803,1.3348837209302327,0.4715462264150943,0.1261281921895569,0.2651162790697674,0.4418604651162791,0.2930232558139535,0.5581395348837209,0.8963551529588087,0.2600108166576528,Strong Efficiency,Tough-Shot Maker,Diversified Shot Profile,Midrange Specialist,Balanced / Low Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1641660,Zia Cooke,Strong,285.0,0.4035087719298245,0.4695121951219512,1.0842105263157895,0.4733973214285714,-0.0698885494987469,0.1824561403508772,0.4350877192982456,0.3824561403508772,0.5649122807017544,0.912790984970626,0.25389966143428744,Efficiency Concern,Tough Shot Profile,Diversified Shot Profile,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1628931,Gabby Williams,Strong,467.0,0.4753747323340471,0.512621359223301,1.1327623126338329,0.4722837259100642,0.0030910064239829116,0.17130620985010706,0.43254817987152033,0.3961456102783726,0.5674518201284796,0.9030451021694844,0.257816762881209,Low Efficiency,Tough Shot Profile,Diversified Shot Profile,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,203400,Skylar Diggins,Usable,222.0,0.4504504504504504,0.5134615384615384,1.2117117117117118,0.500772972972973,-0.05032252252252256,0.26126126126126126,0.43243243243243246,0.3063063063063063,0.5675675675675675,0.9280501600265125,0.23971268565863163,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
2026,1643425,Azzi Fudd,Strong,342.0,0.5467836257309941,0.5584045584045584,1.1491228070175439,0.4805199413489736,0.06626368438202057,0.11695906432748537,0.4269005847953216,0.45614035087719296,0.5730994152046783,0.9161337259069781,0.2550186382134674,Average Efficiency,Tough-Shot Maker,Perimeter-Leaning,Midrange Specialist,Midrange-Heavy Risk,player_midrange_heavy_profiles,midrange_fga_share,2026-09-19T16:51:26+00:00,20260919T165121Z
