season,entity_id_feature,entity_name_feature,sample_size_flag,detected_zone_fga_total,efg_pct_feature,ts_pct_feature,points_per_fga_feature,shotquality_pbp_feature,shot_making_over_shotquality_pbp,rim_fga_share,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share,shot_diet_diversity_score,shot_zone_concentration_score,shooting_efficiency_category,shotquality_pbp_profile_label,shot_diet_profile_label,specialized_shooter_label,shot_diet_risk_label,leaderboard_name,leaderboard_sort_col,leaderboard_generated_at_utc,run_id
2026,1631019,NaLyssa Smith,Usable,161.0,0.65527950310559,0.6477832512315271,1.6335403726708075,0.4898565217391304,0.1654229813664596,0.453416149068323,0.515527950310559,,,0.5851809586506678,0.43667296786389415,Elite Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,Rim Pressure Finisher,Balanced / Low Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1630442,Natasha Mack,Usable,115.0,0.6173913043478261,0.6434108527131783,1.4434782608695653,0.4705560869565217,0.1468352173913044,0.3565217391304348,0.6,,,0.7175810750452767,0.35017013232514177,Elite Efficiency,Tough-Shot Maker,Unavailable Shot Diet,Midrange Specialist,Balanced / Low Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1642822,Kaitlyn Chen,Usable,126.0,0.6150793650793651,0.6313868613138686,1.373015873015873,0.4721689516129032,0.14291041346646194,0.2777777777777778,0.47619047619047616,0.24603174603174602,0.5238095238095238,0.877144245596829,0.2711010330057949,Strong Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Balanced / Low Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1630150,Chennedy Carter,Usable,100.0,0.655,0.6794871794871795,1.59,0.5171825,0.13781750000000004,0.4,0.39,0.21000000000000002,0.6100000000000001,0.8845199314376258,0.2706,Elite Efficiency,Average Shot Quality Profile,Paint-Oriented,Balanced Three-Level Scorer,Balanced / Low Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1642784,Paige Bueckers,Strong,338.0,0.5754437869822485,0.6158038147138964,1.3431952662721893,0.4445495548961424,0.13089423208610612,0.13313609467455623,0.5650887573964497,0.30177514792899407,0.4349112426035503,0.8713659370368658,0.2664822660270999,Strong Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Balanced / Low Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1628276,Kelsey Plum,Usable,188.0,0.6090425531914894,0.652073732718894,1.5265957446808511,0.4896692513368984,0.11937330185459094,0.22340425531914893,0.34574468085106386,0.4308510638297872,0.6542553191489362,0.8158552892157909,0.3024558623811679,Strong Efficiency,Average Shot Quality Profile,Balanced Shot Diet,No Clear Shooting Specialty,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1629566,Han Xu,Low,85.0,0.6294117647058823,0.6483516483516484,1.388235294117647,0.5141358823529412,0.11527588235294117,0.3176470588235294,0.2823529411764706,0.4,0.7176470588235294,0.8162691519413616,0.2952249134948097,Elite Efficiency,Average Shot Quality Profile,Modern Shot Diet,Low-Volume Efficient Shooter,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1629484,Megan Gustafson,Usable,188.0,0.6117021276595744,0.6460396039603961,1.3882978723404256,0.5028162234042554,0.10888590425531908,0.3882978723404255,0.26595744680851063,0.34574468085106386,0.7340425531914894,0.8104216611572483,0.29945676776822094,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1628932,A'ja Wilson,Strong,351.0,0.5512820512820513,0.6161137440758294,1.4843304843304843,0.4599059829059829,0.09137606837606843,0.24216524216524216,0.6267806267806267,0.13105413105413105,0.3732193732193732,0.8038391985198678,0.3186256605060024,Average Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Midrange-Heavy Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1627673,Jonquel Jones,Usable,208.0,0.6033653846153846,0.6510204081632653,1.5336538461538463,0.5133259615384616,0.09003942307692303,0.3076923076923077,0.21634615384615385,0.4759615384615385,0.7836538461538463,0.856250642835681,0.28933986686390534,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
