season,entity_id_feature,entity_name_feature,sample_size_flag,detected_zone_fga_total,efg_pct_feature,ts_pct_feature,points_per_fga_feature,shotquality_pbp_feature,shot_making_over_shotquality_pbp,rim_fga_share,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share,shot_diet_diversity_score,shot_zone_concentration_score,shooting_efficiency_category,shotquality_pbp_profile_label,shot_diet_profile_label,specialized_shooter_label,shot_diet_risk_label,leaderboard_name,leaderboard_sort_col,leaderboard_generated_at_utc,run_id
2026,1611661330,ATL,Strong,1915,0.4945169712793734,0.5446265938069217,1.2558746736292428,0.5367487159329141,-0.04223174465354068,0.41932114882506527,0.20783289817232375,0.372845953002611,0.7921671018276762,0.8127099567179061,0.30863636673506534,Low Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661332,TOR,Strong,1895,0.5229551451187335,0.5718283582089553,1.3013192612137203,0.5201760212201592,0.002779123898574376,0.316622691292876,0.2696569920844327,0.41372031662269126,0.7303430079155673,0.9142894294907793,0.2528818373584144,Average Efficiency,High-Quality Shot Profile,Modern Shot Diet,Above-Break Spacer,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661329,CHI,Strong,1947,0.4971751412429379,0.5479175996417376,1.2619414483821263,0.5303920360824742,-0.033216894839536326,0.38931689779147405,0.27426810477657937,0.3364149974319466,0.7257318952234206,0.8875318728873547,0.2706327330129268,Average Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661313,NYL,Strong,1919,0.5385617509119333,0.5909712722298222,1.3559145388223033,0.505957109252483,0.032604641659450206,0.2782699322563835,0.28817092235539343,0.43355914538822304,0.7118290776446066,0.8942112097047175,0.25763565084190054,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Corner Spacer,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661325,IND,Strong,1930,0.555440414507772,0.6041102077687444,1.3901554404145078,0.5148558471933472,0.040584567314424835,0.31813471502590673,0.29274611398963735,0.3891191709844559,0.7072538860103627,0.9111606815403417,0.25338398346264335,Elite Efficiency,High-Quality Shots + Strong Making,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661320,LAS,Strong,1860,0.5263440860215054,0.5699333967649858,1.29247311827957,0.5125524054054054,0.013791680616100033,0.3172043010752688,0.2978494623655914,0.3849462365591398,0.7021505376344086,0.8905437681791817,0.26170944617874903,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661327,PDX,Strong,1894,0.5195353748680043,0.5630033159639981,1.2602956705385429,0.5045746822033897,0.014960692664614528,0.2824709609292503,0.30147835269271384,0.4160506863780359,0.6985216473072862,0.8916385563753401,0.2585333108833654,Average Efficiency,Average Shot Quality Profile,Diversified Shot Profile,Corner Spacer,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661322,WAS,Strong,1748,0.4814073226544622,0.5316609839259621,1.2540045766590389,0.5009114876507754,-0.019504164996313245,0.3621281464530893,0.33752860411899316,0.3003432494279176,0.6624713958810069,0.8785648162150459,0.2705295100251873,Efficiency Concern,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661331,GSV,Strong,1897,0.4971006852925672,0.5400376825247292,1.2124406958355298,0.4853486758474576,0.011752009445109568,0.20927780706378493,0.3389562467053242,0.4517659462308909,0.6610437532946758,0.9340692865809812,0.24124515889333906,Low Efficiency,Tough Shot Profile,Perimeter-Leaning,Corner Spacer,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
2026,1611661328,SEA,Strong,2043,0.4948604992657856,0.5380078636959371,1.2090063631913852,0.4991358652900688,-0.004275366024283189,0.2775330396475771,0.3416544297601566,0.3808125305922663,0.6583455702398433,0.9093654866196503,0.2516940598473974,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Clean Shot Profile,team_modern_shot_diet_leaders,rim_and_three_fga_share,2026-07-31T15:52:09+00:00,20260731T155206Z
